,Dim_0,Dim_1=0,Dim_2=0,Dim_3=0,Dim_4=0,Dim_5=0,Dim_6=0,Dim_7=0,Dim_8=0,Dim_9=0,Dim_10=0,Dim_11=0,Dim_12=0,Dim_13=0,Dim_14=0,Dim_15=0,Dim_16,Dim_17,Dim_18,Dim_19,Dim_20,isof_scores
17,0.666667,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.003019,0.097493,0.12709,0.347222,0.129688,26.05708192710823
18,0.65625,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.060377,0.075209,0.138796,0.458333,0.107812,34.38033786627676
19,0.510417,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0.115094,0.050696,0.018395,0.458333,0.014062,86.00780891149583
20,0.78125,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000189,0.113092,0.160535,0.388889,0.148438,15.49241519560941
21,0.635417,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.006981,0.111978,0.140468,0.342593,0.145312,1.3232305526355788
22,0.645833,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.003566,0.111978,0.182575,0.37963,0.171984,24.30499912337619
23,0.541667,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.001132,0.142061,0.22408,0.472222,0.175,30.07008032422202
24,0.635417,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.003925,0.113092,0.14214,0.351852,0.14375,7.203725241076128
25,0.791667,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001698,0.130919,0.16388,0.291667,0.190625,11.533501691085476
26,0.791667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001509,0.075209,0.204013,0.476852,0.157813,4.815563451839196
27,0.802083,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.04717,0.047354,0.080268,0.310185,0.090625,43.89042737207828
28,0.270833,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000943,0.069638,0.177258,0.287037,0.210938,5.186856764273912
29,0.583333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.003566,0.111978,0.182575,0.37963,0.171984,0.36862319820622247
30,0.28125,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.003566,0.111978,0.182575,0.37963,0.171984,34.65151339518886
31,0.739583,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000566,0.030641,0.197324,0.402778,0.173438,11.779268231564473
32,0.21875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000943,0.091922,0.135452,0.319444,0.148438,3.9986378035604133
33,0.21875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001698,0.13649,0.180602,0.384259,0.16875,5.719751779035462
34,0.333333,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000755,0.119777,0.147157,0.375,0.139062,9.334014620143975
35,0.447917,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001698,0.097493,0.195652,0.375,0.184375,1.1281164940751438
36,0.3125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000189,0.175487,0.342809,0.648148,0.203125,19.90812404823592
37,0.385417,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.002453,0.153203,0.200669,0.430556,0.170313,5.138966551184993
38,0.385417,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.018094,0.264624,0.277592,0.050926,0.953125,52.84330361549916
39,0.385417,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.014906,0.258496,0.202341,0.050926,0.692188,47.30469692106846
40,0.197917,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.003566,0.111978,0.182575,0.37963,0.171984,19.64251366204907
41,0.739583,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.000189,0.13649,0.297659,0.305556,0.335938,33.643352001470674
42,0.802083,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.000189,0.030641,0.113712,0.337963,0.273438,38.718857632600255
43,0.625,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.018472,0.019499,0.132107,0.217593,0.19375,46.4699763705818
44,0.385417,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000189,0.08078,0.173913,0.287037,0.20625,10.611552508954404
45,0.854167,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.005472,0.075209,0.155518,0.296296,0.18125,9.376512282230337
46,0.541667,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.002642,0.103064,0.170569,0.351852,0.171875,5.84572943152024
47,0.677083,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000189,0.097493,0.177258,0.25,0.232812,4.393176264723266
48,0.541667,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000189,0.111978,0.212375,0.421296,0.182813,13.039085792164869
49,0.510417,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.007547,0.111978,0.197324,0.291667,0.23125,14.887899295801887
50,0.5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000943,0.097493,0.140468,0.300926,0.160937,7.864429817176827
51,0.5625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000189,0.097493,0.168896,0.342593,0.173438,0.8771499094677893
52,0.3125,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0.003566,0.164345,0.26087,0.388889,0.240625,50.311147712868745
53,0.552083,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.000755,0.111978,0.09699,0.324074,0.104688,32.69396150384296
54,0.552083,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.000189,0.103064,0.167224,0.351852,0.16875,24.518427585313887
55,0.625,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001887,0.119777,0.148829,0.324074,0.160937,7.160110825558505
56,0.5,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.000189,0.069638,0.133779,0.384259,0.125,43.11003286019393
57,0.28125,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.000189,0.097493,0.138796,0.282407,0.167188,22.452498340653577
58,0.5625,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9.4e-05,0.153203,0.312709,0.689815,0.175,26.94720088351221
59,0.822917,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.003566,0.153203,0.168896,0.384259,0.157813,9.86384481497629
60,0.28125,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.4e-05,0.086351,0.148829,0.328704,0.157813,11.36430221251129
61,0.645833,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000566,0.041783,0.120401,0.314815,0.132812,12.010136858769712
62,0.604167,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,9.4e-05,0.197772,0.153846,0.393519,0.140625,33.687490584021276
63,0.6875,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.003925,0.108635,0.135452,0.365741,0.132812,28.068011551207903
64,0.885417,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.4e-05,0.108635,0.128763,0.208333,0.19375,19.72204751885485
65,0.739583,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001887,0.091922,0.152174,0.282407,0.182813,2.996629549526105
66,0.802083,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.004528,0.069638,0.14214,0.333333,0.148438,12.336157744018408
67,0.739583,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.003019,0.119777,0.175585,0.439815,0.146875,2.454006784492421
68,0.739583,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0.003566,0.175487,0.182575,0.37963,0.171984,42.069455123129174
69,0.270833,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.003585,0.08078,0.170569,0.37963,0.160672,3.971217981321246
70,0.635417,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.004906,0.113092,0.128763,0.333333,0.1375,1.359715292868188
71,0.635417,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.002642,0.214485,0.158863,0.310185,0.176563,16.985636960150387
72,0.666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.003774,0.142061,0.220736,0.37963,0.209375,4.185601616538818
73,0.302083,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000377,0.142061,0.130435,0.310185,0.145312,7.210172534991827
74,0.822917,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001509,0.125348,0.204013,0.402778,0.18125,8.70589552625718
75,0.71875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00434,0.097493,0.200669,0.314815,0.221875,2.130337831765843
76,0.583333,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000566,0.113092,0.200669,0.300926,0.23125,8.685307876145728
77,0.583333,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001887,0.119777,0.128763,0.24537,0.175,13.272361866978784
78,0.479167,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000566,0.113092,0.162207,0.314815,0.179688,6.987477737524998
79,0.59375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001509,0.119777,0.157191,0.319444,0.170313,1.1275974034547573
80,0.59375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.4e-05,0.103064,0.202341,0.37963,0.190625,1.4821637510871852
81,0.364583,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000566,0.058496,0.11204,0.199074,0.175,19.901595130925912
82,0.15625,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,9.4e-05,0.342618,0.423077,0.402778,0.378125,63.51063617466953
83,0.28125,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0.004717,0.142061,0.295987,0.638889,0.176563,53.39321019128559
84,0.572917,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.015472,0.108635,0.107023,0.356481,0.10625,40.32002020167002
85,0.3125,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001509,0.142061,0.185619,0.342593,0.189063,12.51636630975932
86,0.5625,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.000566,0.111978,0.123746,0.388889,0.115625,29.194521060111697
87,0.333333,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.000566,0.13649,0.175585,0.347222,0.178125,29.950699418769332
88,0.427083,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9.4e-05,0.108635,0.212375,0.393519,0.19375,13.932365874325924
89,0.260417,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.003566,0.111978,0.182575,0.37963,0.171984,2.955756418904599
90,0.708333,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.003566,0.111978,0.17893,0.398148,0.1625,6.904128762741905
91,0.291667,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000377,0.119777,0.145485,0.37963,0.1375,11.369031374970774
92,0.5625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000377,0.197772,0.5,0.731481,0.265625,27.168051529808963
93,0.5625,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0.01434,0.052925,0.140468,0.310185,0.15625,57.79382785766899
94,0.291667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000377,0.147632,0.168896,0.37963,0.159109,6.550907105766271
95,0.385417,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.009057,0.130919,0.187291,0.310185,0.207813,27.120843353085164
96,0.40625,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000377,0.086351,0.155518,0.37963,0.146875,9.102039340830274
97,0.270833,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.003208,0.103064,0.240803,0.472222,0.189063,27.386071759417362
98,0.510417,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000377,0.108635,0.198997,0.402778,0.178125,1.7484356140116688
99,0.6875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.003925,0.075209,0.195652,0.375,0.185937,2.197325909423057
100,0.6875,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.000377,0.047354,0.122074,0.259259,0.15625,40.96533066943935
101,0.59375,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000377,0.113092,0.173913,0.356481,0.173438,7.033290537068396
102,0.15625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.003566,0.275766,0.270903,0.50463,0.2,27.551437223128687
103,0.322917,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.000472,0.13649,0.172241,0.402778,0.153125,29.323883022667218
104,0.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.002075,0.119777,0.183946,0.375,0.176563,4.183034903133105
105,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.088679,0.058496,0.083612,0.337963,0.0875,24.628003527385033
106,0.802083,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.001321,0.086351,0.167224,0.490741,0.126563,32.97873567195498
107,0.666667,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.002264,0.030641,0.098662,0.189815,0.160937,22.52272658543815
108,0.739583,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00434,0.108635,0.214047,0.37963,0.201609,1.444820854434127
109,0.760417,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.002453,0.064067,0.145485,0.356481,0.145312,21.020852714324676
110,0.5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000377,0.108635,0.153846,0.37037,0.15,7.700761862675378
111,0.708333,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.000377,0.13649,0.204013,0.453704,0.165625,33.51637755470651
112,0.21875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000377,0.097493,0.259197,0.337963,0.270312,7.860894558707585
113,0.385417,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.007358,0.119777,0.098662,0.273148,0.121875,34.00266301339718
114,0.385417,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.003566,0.111978,0.237458,0.356481,0.2375,2.4347898571404443
115,0.4375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.132075,0.02507,0.001505,0.402778,0.00125,43.10868141934367
116,0.427083,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.058491,0.041783,0.018395,0.472222,0.014062,37.45937675864719
117,0.71875,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.006981,0.111978,0.11204,0.305556,0.126563,22.56491210780581
118,0.71875,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.001698,0.111978,0.113712,0.291667,0.132812,39.961676502810356
119,0.302083,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000377,0.103064,0.140468,0.337963,0.146875,10.89993024684594
120,0.28125,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000377,0.108635,0.188963,0.347222,0.190625,16.504685703714856
121,0.59375,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.000377,0.111978,0.424749,0.337963,0.439062,60.62906697274325
122,0.666667,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000377,0.103064,0.220736,0.375,0.210938,9.932090350732594
123,0.4375,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000377,0.103064,0.160535,0.333333,0.16875,7.685494022769646
124,0.645833,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0.000377,0.047354,0.180602,0.300926,0.20625,57.378045018705755
125,0.645833,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001698,0.113092,0.252508,0.486111,0.19375,3.760859611778031
126,0.645833,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.002642,0.103064,0.19398,0.37963,0.182734,0.6344584079630664
127,0.364583,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.003925,0.130919,0.295987,0.550926,0.201563,25.05260945212474
128,0.729167,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000377,0.086351,0.200669,0.296296,0.234375,15.663806549481322
129,0.4375,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000377,0.111978,0.326087,0.421296,0.28125,26.185669848035204
130,0.4375,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0.004906,0.097493,0.225753,0.393519,0.20625,27.715814847346834
131,0.510417,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000377,0.097493,0.202341,0.37037,0.19375,8.017097089811458
132,0.427083,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00434,0.058496,0.152174,0.259259,0.195313,6.154903014654607
133,0.5625,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.003925,0.041783,0.122074,0.277778,0.15,11.815709111123155
134,0.541667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.005849,0.130919,0.14214,0.356481,0.142188,2.229818019788894
135,0.625,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.000377,0.208914,0.41806,0.444444,0.34375,49.774266433768915
136,0.375,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.003566,0.111978,0.190635,0.337963,0.196875,42.01345854158852
137,0.458333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000377,0.108635,0.14214,0.37963,0.133906,2.0458886796308917
138,0.260417,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0.020755,0.111978,0.145485,0.402778,0.13125,53.1689584179109
139,0.260417,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000377,0.281337,0.309365,0.458333,0.246875,26.364025796694577
140,0.864583,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000377,0.036212,0.225753,0.310185,0.253125,26.542230638479893
141,0.604167,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.008113,0.064067,0.095318,0.305556,0.107812,7.228241750765761
142,0.635417,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.000377,0.041783,0.204013,0.337963,0.210938,22.80858834205968
143,0.6875,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000377,0.103064,0.17893,0.398148,0.1625,7.7384071274370285
144,0.6875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.005283,0.119777,0.172241,0.342593,0.176563,1.3423920001250735
145,0.802083,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.011887,0.058496,0.090301,0.319444,0.098438,13.391411108519648
146,0.875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000377,0.069638,0.182274,0.356481,0.18125,10.17591125141675
147,0.541667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.04717,0.019499,0.061873,0.203704,0.096875,29.86575398440212
148,0.5,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.001887,0.086351,0.152174,0.356481,0.151563,28.795628917426868
149,0.0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.003566,0.111978,0.182575,0.37963,0.171984,37.304097699821284
150,0.197917,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001698,0.181058,0.257525,0.694444,0.142188,20.284082292395325
151,0.604167,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000377,0.153203,0.234114,0.37963,0.220312,15.766829420252648
152,0.572917,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0.004151,0.075209,0.143813,0.277778,0.175,63.570586002050256
153,0.177083,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000377,0.113092,0.197324,0.439815,0.164063,22.792758820857017
154,0.802083,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001698,0.125348,0.183946,0.421296,0.159375,5.041324183655377
155,0.708333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.01283,0.119777,0.125418,0.384259,0.117063,5.470083912422851
156,0.53125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001698,0.147632,0.187291,0.527778,0.132812,8.717539889559973
157,0.46875,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001509,0.113092,0.177258,0.342593,0.182813,6.5150010951882535
158,0.677083,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000377,0.13649,0.234114,0.5,0.173438,17.35405821364489
159,0.677083,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000377,0.086351,0.225753,0.361111,0.221875,2.8650975243350416
160,0.364583,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001509,0.125348,0.117057,0.402778,0.103125,6.072087492463595
161,0.645833,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.003566,0.111978,0.083612,0.314815,0.092187,48.869837588151114
162,0.5,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0.000377,0.130919,0.225753,0.37963,0.212656,68.61882698368302
163,0.697917,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.003566,0.111978,0.182575,0.37963,0.171984,6.2095610159097845
164,0.65625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.003566,0.111978,0.182575,0.37963,0.171984,0.20754388778733812
165,0.697917,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.003019,0.13649,0.162207,0.425926,0.1375,41.840649440528225
166,0.75,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.00566,0.103064,0.173913,0.37963,0.163828,30.650748532119295
167,0.583333,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.000189,0.130919,0.132107,0.333333,0.139062,40.29680212091369
168,0.291667,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.002453,0.047354,0.120401,0.25,0.159375,46.362644774920575
169,0.291667,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.000377,0.047354,0.086957,0.273148,0.109375,40.11634449854974
170,0.791667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000377,0.086351,0.137124,0.324074,0.148438,5.304336069519948
171,0.666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000377,0.130919,0.212375,0.375,0.201563,3.0377512663928457
172,0.635417,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.002075,0.091922,0.172241,0.393519,0.157813,6.881025770468781
173,0.354167,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.003566,0.119777,0.132107,0.365741,0.128125,32.895066481028266
174,0.4375,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000189,0.111978,0.100334,0.356481,0.1,15.321341630924124
175,0.385417,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000755,0.130919,0.167224,0.439815,0.140625,2.860439548223596
176,0.489583,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0.000189,0.111978,0.195652,0.342593,0.201563,48.026757231765544
177,0.354167,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.00434,0.130919,0.214047,0.435185,0.179688,20.097660607283572
178,0.802083,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.003566,0.111978,0.182575,0.37963,0.171984,30.04751417328258
179,0.645833,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0.004906,0.069638,0.210702,0.416667,0.184375,20.344591434947418
180,0.53125,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.002075,0.147632,0.262542,0.472222,0.20625,13.447133600592366
181,0.697917,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000189,0.097493,0.130435,0.277778,0.159375,10.337415804337141
182,0.239583,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0.006226,0.064067,0.113712,0.324074,0.121875,59.59599606207597
183,0.645833,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000755,0.075209,0.188963,0.393519,0.173438,7.811600139653933
184,0.697917,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000566,0.119777,0.162207,0.319444,0.176563,8.18224706496376
185,0.625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00283,0.091922,0.182274,0.356481,0.18125,0.8448216014117662
186,0.604167,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.001321,0.086351,0.212375,0.416667,0.185937,1.6446230136420894
187,0.583333,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.001887,0.086351,0.118729,0.37037,0.114063,36.46879020515244
188,0.583333,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000189,0.119777,0.247492,0.388889,0.229688,14.124971514970369
189,0.604167,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00434,0.108635,0.120401,0.240741,0.164063,13.110587081326841
190,0.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000566,0.169916,0.212375,0.37963,0.200047,8.198130145458975
191,0.25,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000755,0.125348,0.175585,0.356481,0.175,11.345215697002018
192,0.3125,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0.003566,0.158774,0.262542,0.583333,0.170313,54.471875408400855
193,0.364583,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.003566,0.111978,0.155518,0.273148,0.192187,9.199090913721406
194,0.739583,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0.000755,0.111978,0.307692,0.49537,0.23125,46.54582881093851
